circuit,n_stops_used,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
Albert Park Grand Prix Circuit,11,1.8594186363636365,1.8594186363636218,1.8615540000000002,0.008291952125678608
Baku City Circuit,16,2.0005518749999998,2.0005518749999593,2.0115665,0.04712087256531513
Silverstone Circuit,18,2.06302,2.063019999999941,2.0649889999999997,0.010535502589982593
Circuit Park Zandvoort,30,7.908321633333333,7.9083216333333235,2.458457,5.958534351648777
