constructor,n_stops,actual_mean_stop_s,predicted_mean_stop_s,median_stop_s,sd_stop_s
mclaren,15,3.0146854,3.0146854000000007,2.052218,3.205928305199354
mercedes,13,3.0753096153846156,3.0753096153846156,2.049149,3.352206713931997
ferrari,13,3.1039586153846153,3.1039586153846153,2.059122,3.3077406102816753
alpine,11,3.3288828181818184,3.3288828181818184,2.381893,3.5841056067023147
alphatauri,10,3.4864550000000003,3.4864550000000003,2.2360175,3.707911672866458
aston_martin,15,3.8149160666666666,3.8149160666666666,2.383588,4.253520945684905
red_bull,14,3.9314197857142856,3.9314197857142865,2.417141,4.3376621845494
haas,13,4.021818538461538,4.021818538461539,2.076977,4.523673083923038
williams,11,4.423699090909091,4.423699090909091,2.3813899999999997,4.890266018860067
