circuit,n_stops,actual_mean_stop_s,predicted_mean_stop_s,median_stop_s,sd_stop_s
Suzuka Circuit,16,1.6384604375,1.6384604375000005,1.5810810000000002,0.22600935751157702
Albert Park Grand Prix Circuit,10,1.8592634000000001,1.8592634000000006,1.8604945000000002,0.009036575546079418
Baku City Circuit,15,2.0015496,2.0015496000000006,2.010409,0.050017881305160716
Circuit de Monaco,12,2.3711350833333333,2.3711350833333342,2.3740195,0.017789114574819617
Silverstone Circuit,33,2.5380664848484846,2.5380664848484855,2.0771640000000002,0.49729184067551824
Circuit Park Zandvoort,29,7.6965488965517235,7.6965488965517235,2.461612,5.942520808554339
