season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,plot_group,constructor_n,circuit_n
2021,1,Bahrain Grand Prix,Bahrain International Circuit,vettel,24,1,24.626,aston_martin,0,0,0,32.04295,1,0,Excluded: abnormal long stop,271,190
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,alonso,32,2,1.488372,alpine,0,0,0,1.6118594,0,1,Excluded: very short stop,249,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,gasly,32,3,1.453539,alphatauri,0,0,0,1.6118594,0,1,Excluded: very short stop,202,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,giovinazzi,32,2,1.496541,alfa,0,0,0,1.6118594,0,1,Excluded: very short stop,194,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,hamilton,32,3,1.494731,mercedes,0,0,0,1.6118594,0,1,Excluded: very short stop,278,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,leclerc,33,2,1.609484,ferrari,0,0,0,1.6118594,0,1,Excluded: very short stop,259,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,maxverstappen,33,2,1.621361,red_bull,0,0,0,1.6118594,1,1,Excluded: very short stop,292,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mazepin,31,3,1.486154,haas,0,0,0,1.6118594,0,1,Excluded: very short stop,272,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mickschumacher,31,3,1.521462,haas,0,0,0,1.6118594,0,1,Excluded: very short stop,272,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,norris,33,2,1.584953,mclaren,0,0,0,1.6118594,0,1,Excluded: very short stop,270,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ocon,32,4,1.478974,alpine,0,0,0,1.6118594,0,1,Excluded: very short stop,249,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,perez,33,2,1.5811579999999998,red_bull,0,0,0,1.6118594,0,1,Excluded: very short stop,292,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,raikkonen,32,2,1.492612,alfa,0,0,0,1.6118594,0,1,Excluded: very short stop,194,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ricciardo,33,2,1.574827,mclaren,0,0,0,1.6118594,0,1,Excluded: very short stop,270,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,sainz,33,2,1.582211,ferrari,0,0,0,1.6118594,0,1,Excluded: very short stop,259,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,stroll,32,2,1.49209,aston_martin,0,0,0,1.6118594,0,1,Excluded: very short stop,271,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,tsunoda,32,2,1.491384,alphatauri,0,0,0,1.6118594,0,1,Excluded: very short stop,202,69
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,vettel,32,4,1.452323,aston_martin,0,0,0,1.6118594,0,1,Excluded: very short stop,271,69
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,2,1,21.452,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,3,2,21.621,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,alonso,40,3,26.442,alpine,0,0,0,27.0872,1,0,Excluded: abnormal long stop,249,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,2,1,21.377,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,3,2,22.072,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,36,3,26.938,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,bottas,63,4,26.573,mercedes,0,0,0,27.0872,1,0,Excluded: abnormal long stop,278,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,2,1,21.353,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,3,2,22.319,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,gasly,24,3,26.172,alphatauri,0,0,0,27.0872,1,0,Excluded: abnormal long stop,202,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,2,1,22.485,alfa,0,0,0,27.0872,1,0,Excluded: abnormal long stop,194,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,3,2,22.669,alfa,0,0,0,27.0872,1,0,Excluded: abnormal long stop,194,60
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,giovinazzi,22,3,26.729,alfa,0,0,0,27.0872,1,0,Excluded: abnormal long stop,194,60
