season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,result_status_text,damage_crash_proxy,penalty_text_proxy,track_status,under_safety_car,under_yellow_flag,under_red_flag,under_any_non_green,race_has_safety_car,race_safety_car_lap_share,race_has_yellow_flag,race_has_red_flag,race_q95_stop,very_short_stop_proxy,abnormal_long_stop_proxy,penalty_duration_proxy,penalty_proxy,point_type,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,1,Bahrain Grand Prix,Bahrain International Circuit,norris,33,2,25.64,mclaren,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,270,190,25.589526790454936,25.436855207399706,0.05047320954506418,0.20314479260029472
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ocon,13,1,25.226,alpine,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,249,190,25.808283827243528,25.620039796346795,-0.5822838272435291,-0.39403979634679587
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ocon,31,2,24.471,alpine,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,249,190,25.808283827243528,25.810049161531538,-1.3372838272435281,-1.3390491615315376
2021,1,Bahrain Grand Prix,Bahrain International Circuit,perez,2,1,23.993,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,292,190,25.53880113273873,24.759976950442855,-1.545801132738731,-0.7669769504428565
2021,1,Bahrain Grand Prix,Bahrain International Circuit,perez,19,2,24.105,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,292,190,25.53880113273873,24.94785042844756,-1.4338011327387292,-0.8428504284475586
2021,1,Bahrain Grand Prix,Bahrain International Circuit,perez,38,3,24.191,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,292,190,25.53880113273873,25.4701571671185,-1.3478011327387307,-1.2791571671185018
2021,1,Bahrain Grand Prix,Bahrain International Circuit,raikkonen,13,1,24.107,alfa,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,194,190,25.782742667828536,25.637506577353314,-1.675742667828537,-1.5305065773533144
2021,1,Bahrain Grand Prix,Bahrain International Circuit,raikkonen,29,2,24.046,alfa,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,194,190,25.782742667828536,25.823244168177986,-1.736742667828537,-1.7772441681779867
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ricciardo,13,1,24.688,mclaren,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,270,190,25.589526790454936,25.242574067854896,-0.9015267904549376,-0.5545740678548974
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ricciardo,32,2,24.655,mclaren,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,270,190,25.589526790454936,25.43471932021967,-0.9345267904549353,-0.7797193202196695
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,13,1,24.621,williams,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,271,190,26.83779606192943,25.633598593145457,-2.2167960619294327,-1.0125985931454586
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,36,2,24.248,williams,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,271,190,26.83779606192943,25.83428739423037,-2.5897960619294302,-1.586287394230368
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,15,1,24.353,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,259,190,25.615931411045338,25.07762651550302,-1.2629314110453365,-0.7246265155030187
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,37,2,24.341,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,259,190,25.615931411045338,25.276179429407893,-1.274931411045337,-0.9351794294078921
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,12,1,24.884,aston_martin,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,271,190,25.803827201064184,25.411053134278504,-0.9198272010641837,-0.5270531342785034
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,28,2,25.525,aston_martin,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,271,190,25.803827201064184,25.596790725103176,-0.27882720106418546,-0.07179072510317752
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,15,1,25.046,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,202,190,25.326147460594886,25.20603443222996,-0.28014746059488616,-0.16003443222995983
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,33,2,24.328,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,202,190,25.326147460594886,25.3960437974147,-0.9981474605948861,-1.068043797414699
2021,1,Bahrain Grand Prix,Bahrain International Circuit,vettel,24,1,24.626,aston_martin,+1 Lap,0,0,unknown,0,0,0,0,0,0,0,0,32.04295,0,1,0,0,Abnormal long stop,271,190,25.803827201064184,25.43668378043891,-1.1778272010641828,-0.8106837804389073
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,alonso,32,2,1.488372,alpine,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,249,69,23.544737276145767,4.838270304435428,-22.05636527614577,-3.3498983044354276
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,gasly,32,3,1.453539,alphatauri,Finished,0,0,unknown,0,0,0,0,0,0,0,0,1.6118594,1,0,0,0,Suspiciously short stop,202,69,23.062600909497124,4.901718048208819,-21.609061909497125,-3.448179048208819
