model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual
Simple: normal green-flag stops only,0.39841732595395235,0.2819819696869753,4.0135772481589145,435.0166891666249,467.4615227561332,62
Adjusted: normal green-flag stops only,0.9890931095748038,0.9860843122161289,0.5587483957642142,142.253996630362,183.96878267401559,58
