model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual
Simple: circuit + constructor,0.2870574357720503,0.276884015779312,6.498979336100875,17823.02997034889,18059.099871089697,2663
Adjusted: safety car + damage/crash + penalty,0.734863774694008,0.7298630914554944,3.9722185761274753,15174.327457974337,15481.218328937384,2651
