season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,safety_car_pit_lap,race_q95_stop,abnormal_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,1,Bahrain Grand Prix,Bahrain International Circuit,raikkonen,29,2,24.046,alfa,0,32.04295,1,194,190,25.782742667828536,26.001846263940834,-1.736742667828537,-1.9558462639408347
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ricciardo,13,1,24.688,mclaren,0,32.04295,1,270,190,25.589526790454936,25.535676841218454,-0.9015267904549376,-0.8476768412184548
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ricciardo,32,2,24.655,mclaren,0,32.04295,1,270,190,25.589526790454936,25.553622363564145,-0.9345267904549353,-0.8986223635641437
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,13,1,24.621,williams,0,32.04295,1,271,190,26.83779606192943,26.122803627603936,-2.2167960619294327,-1.5018036276039375
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,36,2,24.248,williams,0,32.04295,1,271,190,26.83779606192943,26.213051022870737,-2.5897960619294302,-1.9650510228707354
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,15,1,24.353,ferrari,0,32.04295,1,259,190,25.615931411045338,25.490777794648352,-1.2629314110453365,-1.1377777946483505
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,37,2,24.341,ferrari,0,32.04295,1,259,190,25.615931411045338,25.562949721684873,-1.274931411045337,-1.2219497216848723
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,12,1,24.884,aston_martin,0,32.04295,1,271,190,25.803827201064184,25.80290364986407,-0.9198272010641837,-0.9189036498640704
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,28,2,25.525,aston_martin,0,32.04295,1,271,190,25.803827201064184,25.766622767518932,-0.27882720106418546,-0.2416227675189333
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,15,1,25.046,alphatauri,0,32.04295,1,202,190,25.326147460594886,25.729188112813603,-0.28014746059488616,-0.6831881128136033
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,33,2,24.328,alphatauri,0,32.04295,1,202,190,25.326147460594886,25.729058166929022,-0.9981474605948861,-1.4010581669290225
2021,1,Bahrain Grand Prix,Bahrain International Circuit,vettel,24,1,24.626,aston_martin,0,32.04295,1,271,190,25.803827201064184,26.01980926862739,-1.1778272010641828,-1.3938092686273897
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,alonso,32,2,1.488372,alpine,0,1.6118594,0,249,69,23.544737276145767,7.177654333021506,-22.05636527614577,-5.689282333021506
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,gasly,32,3,1.453539,alphatauri,0,1.6118594,0,202,69,23.062600909497124,7.616933767738541,-21.609061909497125,-6.163394767738541
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,giovinazzi,32,2,1.496541,alfa,0,1.6118594,0,194,69,23.519196116730775,7.292578747852055,-22.022655116730775,-5.796037747852055
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,hamilton,32,3,1.494731,mercedes,0,1.6118594,0,278,69,23.723419932326742,7.587220775032177,-22.22868893232674,-6.092489775032178
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,leclerc,33,2,1.609484,ferrari,0,1.6118594,0,259,69,23.352384859947577,6.72715392798416,-21.74290085994758,-5.11766992798416
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,maxverstappen,33,2,1.621361,red_bull,0,1.6118594,1,292,69,23.275254581640972,27.69047072760162,-21.653893581640972,-26.06910972760162
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mazepin,31,3,1.486154,haas,0,1.6118594,0,272,69,24.722799242763323,8.643207990236375,-23.236645242763323,-7.157053990236375
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mickschumacher,31,3,1.521462,haas,0,1.6118594,0,272,69,24.722799242763323,8.643207990236375,-23.201337242763323,-7.121745990236375
