constructor,n_stops,abnormal_stop_rate,safety_car_stop_rate,race_safety_car_rate,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
red_bull,220,0.9454545454545454,0,0.3136363636363642,22.700757327272726,22.700757327272672,22.689999999999998,6.407898961860784
alphatauri,138,0.9420289855072465,0,0.5072463768115946,22.92010841304348,22.92010841304343,23.244500000000002,6.992817093948974
ferrari,198,0.9494949494949495,0,0.3181818181818184,23.045852944444444,23.04585294444439,23.0415,6.310255605784328
aston_martin,206,0.941747572815534,0,0.3058252427184468,23.126077800970872,23.126077800970823,23.218,6.751863478661051
mclaren,208,0.9423076923076923,0,0.3269230769230761,23.150488336538462,23.15048833653841,22.951500000000003,6.552960023476262
alpine,193,0.9430051813471503,0,0.3005181347150254,23.23148507253886,23.231485072538806,23.388,6.764554908438192
mercedes,210,0.9476190476190476,0,0.3190476190476196,23.386079180952382,23.386079180952333,22.8075,7.937300086053949
alfa,133,0.9323308270676692,0,0.443609022556391,23.526490345864662,23.52649034586461,24.045,7.5629350269092
williams,209,0.9665071770334929,0,0.33492822966507135,24.163032990430622,24.163032990430562,23.596,6.527837512184991
rb,70,0.9714285714285714,0,0,24.52268217142857,24.522682171428524,22.6205,7.710853343222337
haas,212,0.9622641509433962,0,0.29716981132075476,24.866547754716983,24.866547754716926,24.179000000000002,6.392140078862799
sauber,74,0.972972972972973,0,0,26.33992227027027,26.339922270270222,23.3215,9.983796001278428
