model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual
Simple: circuit + constructor,0.3996381850125781,0.38931255183097613,5.474401735760139,12956.67061486169,13165.194728733328,2035
Adjusted: adds confounders + safety car,0.6734659559791518,0.6663743972738618,4.046288582031435,11713.435165428062,11972.681361052259,2026
Normal stops only,0.9998637122728214,0.9998266958530939,0.057176768076388294,-278.0691105649419,-214.60372898554897,81
