model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual
Simple: circuit + constructor,0.2870574357720503,0.276884015779312,6.498979336100875,17823.02997034889,18059.099871089697,2663
Adjusted: safety car + short-stop proxy,0.7326552205592811,0.7278182249267313,3.9872245654198424,15192.741581442364,15487.82895736837,2653
Normal stops only,0.9998027620683743,0.9997708733009857,0.04977938683733878,-588.9002693805779,-493.98328218222923,167
