model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual
Simple: circuit + constructor,0.2870574357720503,0.276884015779312,6.498979336100875,17823.02997034889,18059.099871089697,2663
Adjusted: adds confounders,0.718504949015472,0.7137356428052672,4.089072530567608,15326.099210409631,15603.481343780079,2656
Normal stops only,0.6610844413720497,0.6086332239653431,2.057328635662006,861.6733513695705,953.3173390093554,168
