season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,1,Bahrain Grand Prix,Bahrain International Circuit,ricciardo,32,2,24.655,mclaren,0,0,0,32.04295,1,0,270,190,25.589526790454936,25.531376998719033,-0.9345267904549353,-0.8763769987190315
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,13,1,24.621,williams,0,0,0,32.04295,1,0,271,190,26.83779606192943,25.876030756582367,-2.2167960619294327,-1.255030756582368
2021,1,Bahrain Grand Prix,Bahrain International Circuit,russell,36,2,24.248,williams,0,0,0,32.04295,1,0,271,190,26.83779606192943,26.06417634389604,-2.5897960619294302,-1.8161763438960392
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,15,1,24.353,ferrari,0,0,0,32.04295,1,0,259,190,25.615931411045338,25.247922124502963,-1.2629314110453365,-0.8949221245029619
2021,1,Bahrain Grand Prix,Bahrain International Circuit,sainz,37,2,24.341,ferrari,0,0,0,32.04295,1,0,259,190,25.615931411045338,25.43544721205999,-1.274931411045337,-1.0944472120599897
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,12,1,24.884,aston_martin,0,0,0,32.04295,1,0,271,190,25.803827201064184,25.606245857337143,-0.9198272010641837,-0.7222458573371426
2021,1,Bahrain Grand Prix,Bahrain International Circuit,stroll,28,2,25.525,aston_martin,0,0,0,32.04295,1,0,271,190,25.803827201064184,25.79004794635428,-0.27882720106418546,-0.26504794635428297
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,15,1,25.046,alphatauri,0,0,0,32.04295,1,0,202,190,25.326147460594886,25.382702268556976,-0.28014746059488616,-0.3367022685569765
2021,1,Bahrain Grand Prix,Bahrain International Circuit,tsunoda,33,2,24.328,alphatauri,0,0,0,32.04295,1,0,202,190,25.326147460594886,25.56774535708741,-0.9981474605948861,-1.2397453570874113
2021,1,Bahrain Grand Prix,Bahrain International Circuit,vettel,24,1,24.626,aston_martin,0,0,0,32.04295,1,0,271,190,25.803827201064184,25.61369185441692,-1.1778272010641828,-0.9876918544169193
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,alonso,32,2,1.488372,alpine,0,0,0,1.6118594,0,1,249,69,23.544737276145767,5.205257961394604,-22.05636527614577,-3.7168859613946044
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,gasly,32,3,1.453539,alphatauri,0,0,0,1.6118594,0,1,202,69,23.062600909497124,5.27453354034732,-21.609061909497125,-3.8209945403473196
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,giovinazzi,32,2,1.496541,alfa,0,0,0,1.6118594,0,1,194,69,23.519196116730775,5.211403611645457,-22.022655116730775,-3.714862611645457
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,hamilton,32,3,1.494731,mercedes,0,0,0,1.6118594,0,1,278,69,23.723419932326742,5.389873427829386,-22.22868893232674,-3.895142427829386
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,leclerc,33,2,1.609484,ferrari,0,0,0,1.6118594,0,1,259,69,23.352384859947577,4.691024362591136,-21.74290085994758,-3.081540362591136
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,maxverstappen,33,2,1.621361,red_bull,0,0,0,1.6118594,1,1,292,69,23.275254581640972,20.970293755195776,-21.653893581640972,-19.348932755195776
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mazepin,31,3,1.486154,haas,0,0,0,1.6118594,0,1,272,69,24.722799242763323,6.370555419831133,-23.236645242763323,-4.884401419831133
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,mickschumacher,31,3,1.521462,haas,0,0,0,1.6118594,0,1,272,69,24.722799242763323,6.370555419831133,-23.201337242763323,-4.849093419831133
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,norris,33,2,1.584953,mclaren,0,0,0,1.6118594,0,1,270,69,23.32598023935718,4.790056648033421,-21.74102723935718,-3.2051036480334205
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,ocon,32,4,1.478974,alpine,0,0,0,1.6118594,0,1,249,69,23.544737276145767,7.138474988238902,-22.065763276145766,-5.659500988238902
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,perez,33,2,1.5811579999999998,red_bull,0,0,0,1.6118594,0,1,292,69,23.275254581640972,4.369362499865511,-21.694096581640974,-2.7882044998655116
